type,mfg,mpn,time (s),current (a),band,source,notes
FLA - Code B,NEMA MG-1,Code B LRA,10000,3.15,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code B lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code B,NEMA MG-1,Code B LRA,100,3.15,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code B lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code B,NEMA MG-1,Code B LRA,1,3.15,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code B lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code B,NEMA MG-1,Code B LRA,0.01,3.15,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code B lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code B,NEMA MG-1,Code B LRA,0.001,3.15,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code B lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code B,NEMA MG-1,Code B LRA,10000,3.55,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code B upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code B,NEMA MG-1,Code B LRA,100,3.55,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code B upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code B,NEMA MG-1,Code B LRA,1,3.55,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code B upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code B,NEMA MG-1,Code B LRA,0.01,3.55,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code B upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code B,NEMA MG-1,Code B LRA,0.001,3.55,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code B upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code C,NEMA MG-1,Code C LRA,10000,3.55,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code C lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code C,NEMA MG-1,Code C LRA,100,3.55,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code C lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code C,NEMA MG-1,Code C LRA,1,3.55,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code C lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code C,NEMA MG-1,Code C LRA,0.01,3.55,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code C lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code C,NEMA MG-1,Code C LRA,0.001,3.55,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code C lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code C,NEMA MG-1,Code C LRA,10000,4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code C upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code C,NEMA MG-1,Code C LRA,100,4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code C upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code C,NEMA MG-1,Code C LRA,1,4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code C upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code C,NEMA MG-1,Code C LRA,0.01,4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code C upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code C,NEMA MG-1,Code C LRA,0.001,4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code C upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code D,NEMA MG-1,Code D LRA,10000,4,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code D lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code D,NEMA MG-1,Code D LRA,100,4,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code D lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code D,NEMA MG-1,Code D LRA,1,4,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code D lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code D,NEMA MG-1,Code D LRA,0.01,4,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code D lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code D,NEMA MG-1,Code D LRA,0.001,4,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code D lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code D,NEMA MG-1,Code D LRA,10000,4.5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code D upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code D,NEMA MG-1,Code D LRA,100,4.5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code D upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code D,NEMA MG-1,Code D LRA,1,4.5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code D upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code D,NEMA MG-1,Code D LRA,0.01,4.5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code D upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code D,NEMA MG-1,Code D LRA,0.001,4.5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code D upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code E,NEMA MG-1,Code E LRA,10000,4.5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code E lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code E,NEMA MG-1,Code E LRA,100,4.5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code E lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code E,NEMA MG-1,Code E LRA,1,4.5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code E lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code E,NEMA MG-1,Code E LRA,0.01,4.5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code E lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code E,NEMA MG-1,Code E LRA,0.001,4.5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code E lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code E,NEMA MG-1,Code E LRA,10000,5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code E upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code E,NEMA MG-1,Code E LRA,100,5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code E upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code E,NEMA MG-1,Code E LRA,1,5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code E upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code E,NEMA MG-1,Code E LRA,0.01,5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code E upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code E,NEMA MG-1,Code E LRA,0.001,5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code E upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code F,NEMA MG-1,Code F LRA,10000,5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code F lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code F,NEMA MG-1,Code F LRA,100,5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code F lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code F,NEMA MG-1,Code F LRA,1,5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code F lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code F,NEMA MG-1,Code F LRA,0.01,5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code F lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code F,NEMA MG-1,Code F LRA,0.001,5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code F lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code F,NEMA MG-1,Code F LRA,10000,5.6,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code F upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code F,NEMA MG-1,Code F LRA,100,5.6,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code F upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code F,NEMA MG-1,Code F LRA,1,5.6,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code F upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code F,NEMA MG-1,Code F LRA,0.01,5.6,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code F upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code F,NEMA MG-1,Code F LRA,0.001,5.6,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code F upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code G,NEMA MG-1,Code G LRA,10000,5.6,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code G lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code G,NEMA MG-1,Code G LRA,100,5.6,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code G lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code G,NEMA MG-1,Code G LRA,1,5.6,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code G lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code G,NEMA MG-1,Code G LRA,0.01,5.6,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code G lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code G,NEMA MG-1,Code G LRA,0.001,5.6,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code G lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code G,NEMA MG-1,Code G LRA,10000,6.3,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code G upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code G,NEMA MG-1,Code G LRA,100,6.3,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code G upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code G,NEMA MG-1,Code G LRA,1,6.3,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code G upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code G,NEMA MG-1,Code G LRA,0.01,6.3,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code G upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code G,NEMA MG-1,Code G LRA,0.001,6.3,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code G upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code H,NEMA MG-1,Code H LRA,10000,6.3,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code H lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code H,NEMA MG-1,Code H LRA,100,6.3,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code H lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code H,NEMA MG-1,Code H LRA,1,6.3,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code H lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code H,NEMA MG-1,Code H LRA,0.01,6.3,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code H lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code H,NEMA MG-1,Code H LRA,0.001,6.3,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code H lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code H,NEMA MG-1,Code H LRA,10000,7.1,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code H upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code H,NEMA MG-1,Code H LRA,100,7.1,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code H upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code H,NEMA MG-1,Code H LRA,1,7.1,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code H upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code H,NEMA MG-1,Code H LRA,0.01,7.1,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code H upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code H,NEMA MG-1,Code H LRA,0.001,7.1,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code H upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code J,NEMA MG-1,Code J LRA,10000,7.1,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code J lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code J,NEMA MG-1,Code J LRA,100,7.1,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code J lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code J,NEMA MG-1,Code J LRA,1,7.1,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code J lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code J,NEMA MG-1,Code J LRA,0.01,7.1,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code J lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code J,NEMA MG-1,Code J LRA,0.001,7.1,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code J lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code J,NEMA MG-1,Code J LRA,10000,8,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code J upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code J,NEMA MG-1,Code J LRA,100,8,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code J upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code J,NEMA MG-1,Code J LRA,1,8,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code J upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code J,NEMA MG-1,Code J LRA,0.01,8,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code J upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code J,NEMA MG-1,Code J LRA,0.001,8,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code J upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code K,NEMA MG-1,Code K LRA,10000,8,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code K lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code K,NEMA MG-1,Code K LRA,100,8,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code K lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code K,NEMA MG-1,Code K LRA,1,8,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code K lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code K,NEMA MG-1,Code K LRA,0.01,8,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code K lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code K,NEMA MG-1,Code K LRA,0.001,8,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code K lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code K,NEMA MG-1,Code K LRA,10000,9,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code K upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code K,NEMA MG-1,Code K LRA,100,9,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code K upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code K,NEMA MG-1,Code K LRA,1,9,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code K upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code K,NEMA MG-1,Code K LRA,0.01,9,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code K upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code K,NEMA MG-1,Code K LRA,0.001,9,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code K upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code L,NEMA MG-1,Code L LRA,10000,9,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code L lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code L,NEMA MG-1,Code L LRA,100,9,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code L lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code L,NEMA MG-1,Code L LRA,1,9,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code L lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code L,NEMA MG-1,Code L LRA,0.01,9,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code L lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code L,NEMA MG-1,Code L LRA,0.001,9,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code L lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code L,NEMA MG-1,Code L LRA,10000,10,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code L upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
