type,mfg,mpn,time (s),current (a),band,source,notes
FLA - Class 10A,IEC 60947-4-1,Class 10A Thermal,1.9821,20,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,10000,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,8485.3,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,7200,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,3241.9,1.114,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,1459.7,1.183,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,657.27,1.255,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,295.95,1.332,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,133.25,1.413,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,60,1.5,min,"ASSUMED - 60 s min at 1.5x, not standard-defined",FLAGGED - not an IEC limit
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,42.77,1.825,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,30.488,2.22,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,21.733,2.701,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,15.492,3.286,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,11.043,3.998,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,7.872,4.864,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,5.6114,5.918,min,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,4,7.2,min,"IEC 60947-4-1 Table 2 (trip class window at 7.2x, cold) - min 4 s at 7.2x",
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,2.5737,9.295,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,1.656,12,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,1.0655,15.49,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,0.685588,20,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,10000,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,8485.3,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,7200,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,4084.6,1.245,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,2317.2,1.293,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,1314.5,1.342,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,745.74,1.392,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,423.06,1.445,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,240,1.5,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.5x trip within 240 s (hot),
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,161.32,1.825,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,108.43,2.22,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,72.884,2.701,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,48.99,3.286,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,32.929,3.998,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,22.134,4.864,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,14.877,5.918,max,log-log interpolation between anchors,
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,10,7.2,max,"IEC 60947-4-1 Table 2 (trip class window at 7.2x, cold) - max 10 s at 7.2x",
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,5.9603,9.295,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,3.5525,12,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,2.1174,15.49,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10,IEC 60947-4-1,Class 10 Thermal,1.262,20,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,10000,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,8485.3,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,7200,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,3468.6,1.114,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,1671,1.183,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,804.98,1.255,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,387.8,1.332,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,186.82,1.413,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,90,1.5,min,"ASSUMED - 90 s min at 1.5x, not standard-defined",FLAGGED - not an IEC limit
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,64.155,1.825,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,45.732,2.22,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,32.599,2.701,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,23.238,3.286,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,16.565,3.998,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,11.808,4.864,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,8.4171,5.918,min,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,6,7.2,min,"IEC 60947-4-1 Table 2 (trip class window at 7.2x, cold) - min 6 s at 7.2x",
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,3.8606,9.295,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,2.484,12,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,1.5983,15.49,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,1.0284,20,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,10000,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,8485.3,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,7200,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,4584.8,1.245,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,2919.5,1.293,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,1859,1.342,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,1183.8,1.392,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,753.8,1.445,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,480,1.5,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.5x trip within 480 s (hot),
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,322.64,1.825,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,216.86,2.22,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,145.77,2.701,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,97.98,3.286,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,65.858,3.998,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,44.267,4.864,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,29.755,5.918,max,log-log interpolation between anchors,
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,20,7.2,max,"IEC 60947-4-1 Table 2 (trip class window at 7.2x, cold) - max 20 s at 7.2x",
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,11.921,9.295,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,7.1049,12,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,4.2347,15.49,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 20,IEC 60947-4-1,Class 20 Thermal,2.524,20,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,10000,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,8485.3,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,7200,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,3776.8,1.114,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,1981.2,1.183,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,1039.2,1.255,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,545.14,1.332,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,285.96,1.413,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,150,1.5,min,"ASSUMED - 150 s min at 1.5x, not standard-defined",FLAGGED - not an IEC limit
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,105.53,1.825,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,74.238,2.22,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,52.227,2.701,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,36.742,3.286,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,25.849,3.998,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,18.185,4.864,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,12.793,5.918,min,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,9,7.2,min,"IEC 60947-4-1 Table 2 (trip class window at 7.2x, cold) - min 9 s at 7.2x",
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,5.6924,9.295,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,3.6003,12,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,2.2772,15.49,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,1.4403,20,min,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,10000,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,8485.3,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,7200,1.2,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.2x trip within 2 h,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,4905.3,1.245,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,3341.9,1.293,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,2276.8,1.342,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,1551.2,1.392,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,1056.8,1.445,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,720,1.5,max,IEC 60947-4-1 Table 3 (compensated relay) - 1.5x trip within 720 s (hot),
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,483.96,1.825,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,325.3,2.22,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,218.65,2.701,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,146.97,3.286,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,98.787,3.998,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,66.401,4.864,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,44.632,5.918,max,log-log interpolation between anchors,
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,30,7.2,max,"IEC 60947-4-1 Table 2 (trip class window at 7.2x, cold) - max 30 s at 7.2x",
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,17.881,9.295,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,10.657,12,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,6.3521,15.49,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 30,IEC 60947-4-1,Class 30 Thermal,3.786,20,max,power-law extrapolation beyond 7.2x (not standard-defined),FLAGGED - not an IEC limit
FLA - Class 10E,IEC 60947-4-1,Class 10E Thermal,10000,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 10E,IEC 60947-4-1,Class 10E Thermal,8485.3,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 10E,IEC 60947-4-1,Class 10E Thermal,7200,1.05,min,IEC 60947-4-1 Table 3 (compensated relay) - 1.05x no trip for 2 h,
FLA - Class 10E,IEC 60947-4-1,Class 10E Thermal,3241.9,1.114,min,log-log interpolation between anchors,
FLA - Class 10E,IEC 60947-4-1,Class 10E Thermal,1459.7,1.183,min,log-log interpolation between anchors,
